"","epci","commune","numero_d_immatriculation","date_d_immatriculation","date_de_la_derniere_maj","type_de_syndic_benevole_professionnel_non_connu","identification_du_representant_legal_raison_sociale_et_le_numer","raison_sociale_du_representant_legal","siret_du_representant_legal","code_ape","commune_du_representant_legal","mandat_en_cours_dans_la_copropriete","date_de_fin_du_dernier_mandat","nom_d_usage_de_la_copropriete","adresse_de_reference","numero_et_voie_adresse_de_reference","code_postal_adresse_de_reference","commune_adresse_de_reference","adresse_complementaire_1","adresse_complementaire_2","adresse_complementaire_3","nombre_d_adresses_complementaires","long","lat","date_du_reglement_de_copropriete","residence_service","syndicat_cooperatif","syndicat_principal_ou_syndicat_secondaire","si_secondaire_n_d_immatriculation_du_principal","nombre_d_asl_auxquelles_est_rattache_le_syndicat_de_coproprieta","nombre_d_aful_auxquelles_est_rattache_le_syndicat_de_copropriet","nombre_d_unions_de_syndicats_auxquelles_est_rattache_le_syndica","nombre_total_de_lots","nombre_total_de_lots_a_usage_d_habitation_de_bureaux_ou_de_comm","nombre_de_lots_a_usage_d_habitation","nombre_de_lots_de_stationnement","periode_de_construction","reference_cadastrale_1","code_insee_commune_1","prefixe_1","section_1","numero_parcelle_1","reference_cadastrale_2","code_insee_commune_2","prefixe_2","section_2","numero_parcelle_2","reference_cadastrale_3","code_insee_commune_3","prefixe_3","section_3","numero_parcelle_3","nombre_de_parcelles_cadastrales","nom_qp_2015","code_qp_2015","nom_qp_2024","code_qp_2024","copro_dans_acv","copro_dans_pvd","code_de_pdp","copro_dans_pdp","copro_aidee","code_officiel_commune","nom_officiel_commune","code_officiel_arrondissement_commune","nom_officiel_arrondissement_commune","code_officiel_epci","nom_officiel_epci","code_officiel_departement","nom_officiel_departement","code_officiel_region","nom_officiel_region"
"107811",200057875,"93010","AB4223293","2017-11-08","2025-08-30","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2027-03-06","SDC RESIDENCE DE LA MAIRIE","46 Rue Roger Salengro 93140 Bondy","46 Rue Roger Salengro",93140,"Bondy","non connu","non connu","non connu",0,2.478769,48.901151,"1962-04-25","non","non","oui","",0,0,0,164,62,62,60,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"108249",200057875,"93010","AB4276333","2017-11-10","2025-11-29","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2027-11-21","SDC RESIDENCE ANDRE MALRAUX","31 Cours de la République 93140 Bondy","31 Cours de la République",93140,"Bondy","non connu","non connu","non connu",0,2.479968,48.901298,"1985-07-02","non","non","oui","",0,0,0,82,23,23,36,"DE_1975_A_1993","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"108383",200057875,"93010","AB4291423","2017-11-10","2025-09-06","professionnel","CABINET CHARLES BAUMANN 35308281100046","CABINET CHARLES BAUMANN ","35308281100046","6832A","MONTREUIL","Mandat en cours","2026-05-17","LES CHENES","21 av henri barbusse 93140 BONDY","21 av henri barbusse",93140,"BONDY","1 A 4 RUE DE L'ABBE MAURICE BAURIT     93140 BONDY","non connu","non connu",1,2.483742,48.902052,"1974-12-27","non","non","oui","non connu",0,0,0,243,83,83,77,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"108419",200057875,"93010","AB4295309","2017-11-10","2025-11-01","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2026-10-01","SDC 119/121 AVENUE CARNOT","121 Avenue Carnot 93140 BONDY","121 Avenue Carnot",93140,"BONDY","non connu","non connu","non connu",0,2.480185,48.896875,"1963-02-12","non","non","oui","non connu",0,0,0,196,53,45,45,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"108979",200057875,"93010","AB4360970","2017-11-13","2025-08-23","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2025-02-06","36 SALENGRO 19 J JAURES - MS10689","36 r roger salengro 93140 BONDY","36 r roger salengro",93140,"BONDY","non connu","non connu","non connu",0,2.479117,48.901764,"1968-07-30","non","non","oui","non connu",0,0,0,117,39,39,39,"NON_CONNUE","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"114921",200057875,"93010","AB5074000","2017-11-22","2025-11-22","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2025-09-21","SDC 156/162 CHEMIN DE GROSLAY","156 che de groslay 93140 Bondy","156 che de groslay",93140,"Bondy","158 che de groslay 93140 Bondy","160 che de groslay 93140 Bondy","162 che de groslay 93140 Bondy",3,2.475665,48.915661,"1973-04-18","non","non","oui","non connu",0,0,0,148,44,44,60,"DE_1961_A_1974","930100000B0176","93010","000","0B","0176","930100000B0178","93010","000","0B","0178","","non connu","non connu","non connu","non connu",2,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"115861",200057875,"93010","AB5191739","2017-11-23","2025-09-06","professionnel","LAROZE IMMOBILIER 83159289400024","LAROZE IMMOBILIER ","83159289400024","6832A","PARIS 12","Mandat en cours","2026-03-31","SDC LES JARDINS JULES GUESDE","34 r jules guesde 93140 Bondy","34 r jules guesde",93140,"Bondy","12 r jean jaures 93140 Bondy","10 r jean jaures 93140 Bondy","8 rle sainte-barbe 93140 Bondy",3,2.477131,48.90353,"2009-12-23","non","non","oui","non connu",0,0,0,81,44,44,37,"DE_2001_A_2010","93010000AE0197","93010","000","AE","0197","93010000AE0012","93010","000","AE","0012","93010000AE0150","93010","000","AE","0150",5,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"123361",200057875,"93010","AB6097018","2017-11-30","2025-08-23","professionnel","CABINET NICOLAS & CIE - ADMINISTRATEUR DE BIENS 39883799700053","CABINET NICOLAS & CIE - ADMINISTRATEUR DE BIENS ","39883799700053","6832A","PARIS","Mandat en cours","2027-06-30","SDC FRANCOIS MARTIN - MS148399","1 r francois martin 93140 BONDY","1 r francois martin",93140,"BONDY","non connu","non connu","non connu",0,2.480095,48.909202,"1962-09-12","non","non","oui","non connu",0,0,0,66,66,66,0,"DE_1961_A_1974","93010000HN0085","93010","000","HN","0085","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"124971",200057875,"93010","AB6291884","2017-12-04","2025-12-06","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2025-09-30","RESIDENCE BONDY","2 r arthur rimbaud 93140 Bondy","2 r arthur rimbaud",93140,"Bondy","4 r arthur rimbaud 93140 Bondy","8-12 r auguste polissard 93140 Bondy","non connu",2,2.48037,48.904878,"2009-12-22","non","non","oui","non connu",0,0,0,138,63,60,70,"DE_1961_A_1974","930100000J0236","93010","000","0J","0236","930100000J0253","93010","000","0J","0253","","non connu","non connu","non connu","non connu",2,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"130785",200057875,"93010","AB7014822","2017-12-12","2025-08-23","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2025-05-29","SDC RESIDENCE PASTEUR","10 av pasteur 93140 Bondy","10 av pasteur",93140,"Bondy","non connu","non connu","non connu",0,2.483923,48.903549,"2000-09-13","non","non","oui","non connu",0,0,0,72,24,24,24,"DE_1994_A_2000","930100000Q0036","93010","000","0Q","0036","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"137064",200057875,"93010","AB7784317","2017-12-21","2025-08-23","professionnel","NCA 69200672900044","NCA ","69200672900044","6820B","PARIS 9","Mandat en cours","2027-01-31","MOZAIK","15/17 RUE FONTAINE 93140 BONDY","15/17 RUE FONTAINE",93140,"BONDY","non connu","non connu","non connu",0,2.484411,48.909577,"2015-12-29","non","non","oui","non connu",0,0,0,118,66,66,52,"A_COMPTER_DE_2011","930100000F0129","93010","000","0F","0129","930100000F0080","93010","000","0F","0080","930100000F0012","93010","000","0F","0012",3,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"138805",200057875,"93010","AB8005738","2017-12-27","2025-08-23","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2026-10-15","SDC LES BALCONS DU MOULIN","138 Rue Roger Salengro 93140 Bondy","138 Rue Roger Salengro",93140,"Bondy","non connu","non connu","non connu",0,2.477303,48.895492,"1991-08-19","non","non","oui","",0,0,0,116,62,54,0,"DE_1975_A_1993","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"139070",200057875,"93010","AB8038176","2017-12-27","2025-08-23","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2026-11-26","SDC 10-16 ALEXANDRA DAVID NEEL","16 Rue Alexandra David Neel 93140 Bondy","16 Rue Alexandra David Neel",93140,"Bondy","non connu","non connu","non connu",0,2.48691,48.894581,"2005-03-02","non","non","oui","",0,0,0,163,67,67,82,"DE_2001_A_2010","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"151694",200057875,"93010","AB9644113","2018-01-16","2025-08-23","professionnel","GCI LE PRE 84463672000014","GCI LE PRE ","84463672000014","6831Z","LE PRE SAINT GERVAIS","Mandat en cours","2027-03-31","SDC 160 AVE DU GAL GALLIENI","160 av gallieni 93140 Bondy","160 av gallieni",93140,"Bondy","non connu","non connu","non connu",0,2.48563,48.906465,"2004-10-28","non","non","oui","non connu",0,0,0,128,37,33,55,"DE_1994_A_2000","930100000N0013","93010","000","0N","0013","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"153552",200057875,"93010","AB9903907","2018-01-18","2025-08-23","professionnel","CABINET AJOA GESTION 80506069600020","CABINET AJOA GESTION ","80506069600020","6832A","AULNAY SOUS BOIS","Mandat en cours","2028-04-11","SDC LE BAUDELAIRE","65 av du 14 juillet 93140 Bondy","65 av du 14 juillet",93140,"Bondy","non connu","non connu","non connu",0,2.491889,48.915154,"1977-03-03","non","non","oui","non connu",0,0,0,77,23,23,34,"DE_1961_A_1974","930100000D0122","93010","000","0D","0122","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"157377",200057875,"93010","AC0467712","2018-01-31","2025-08-23","professionnel","DWELLING 89881852100012","DWELLING ","89881852100012","6832A","PARIS 17","Mandat en cours","2026-06-18","SDC 10 BLANQUI/57 REPUBLIQUE","10 r louis auguste blanqui 93140 Bondy","10 r louis auguste blanqui",93140,"Bondy","57 av de la republique 93140 Bondy","non connu","non connu",1,2.47974,48.900172,"1955-09-19","non","non","oui","non connu",0,0,0,94,75,71,0,"AVANT_1949","93010000AJ0047","93010","000","AJ","0047","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"158800",200057875,"93010","AC0662171","2018-02-02","2025-08-23","professionnel","SOCIETE DE GERANCE RICHELIEU 60205776200034","SOCIETE DE GERANCE RICHELIEU ","60205776200034","6832A","LE RAINCY","Mandat en cours","2027-04-03","SDC 85/87 avenue Carnot","85 av carnot 93140 Bondy","85 av carnot",93140,"Bondy","87 av carnot 93140 Bondy","non connu","non connu",1,2.480913,48.898398,"1993-03-25","non","non","oui","non connu",0,0,0,56,19,19,19,"DE_1975_A_1993","93010000AK0153","93010","000","AK","0153","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"161293",200057875,"93010","AC1000652","2018-02-08","2025-08-23","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2024-06-19","SDC LA NOUE CAILLET","49/57 av henri varagnat 93140 Bondy","49/57 av henri varagnat",93140,"Bondy","2-8 Rue Rabelais 93140","non connu","non connu",1,2.48438,48.91648,"1965-02-25","non","non","oui","non connu",0,0,0,126,63,63,0,"DE_1961_A_1974","930100000A0001","93010","000","0A","0001","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"163547",200057875,"93010","AC1323658","2018-02-15","2025-08-23","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2021-09-12","COPROPRIETE 18","1-7 r rudyard kipling 93140 Bondy","1-7 r rudyard kipling",93140,"Bondy","9-17 r theodore monod 93140 Bondy","non connu","non connu",1,2.486913,48.893446,"2009-06-15","non","non","oui","non connu",0,0,0,21,12,12,0,"DE_2001_A_2010","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"163714",200057875,"93010","AC1346501","2018-02-15","2025-08-23","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2023-06-30","14 RUE JULES LELONG","14 r jules lelong 93140 BONDY","14 r jules lelong",93140,"BONDY","non connu","non connu","non connu",0,2.47591,48.896767,"1965-09-05","non","non","oui","non connu",0,0,0,48,24,12,0,"AVANT_1949","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"165557",200057875,"93010","AC1600774","2018-02-21","2025-11-22","professionnel","CABINET CPI 49316608600022","CABINET CPI ","49316608600022","6831Z","SARCELLES","Mandat en cours","2026-12-19","S.D.C. RESIDENCE 13","152 r edouard vaillant 93140 Bondy","152 r edouard vaillant",93140,"Bondy","21 r marguerite duras 93140 Bondy","non connu","non connu",1,2.489711,48.894831,"2003-12-04","non","non","oui","non connu",1,0,0,85,49,49,36,"DE_2001_A_2010","93010000AR0035","93010","000","AR","0035","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"166130",200057875,"93010","AC1677426","2018-02-22","2025-08-23","professionnel","CABINET IMMOBILIER RIVET-LENOBLE 40926757200017","CABINET IMMOBILIER RIVET-LENOBLE ","40926757200017","6831Z","LIVRY GARGAN","Mandat en cours","2026-06-30","LES FLORIANES II","2 crs de la republique 93140 Bondy","2 crs de la republique",93140,"Bondy","3 RUE ROGER SALENGRO/2 COURS DE LA REPUB - BATIMENT INFRA STRUCTURE 93140 BONDY","2 COURS DE LA REPUBLIQUE - BATIMENT C 93140 BONDY","1 /3  RUE ROGER SALENGRO - BATIMENT B 93140 BONDY",3,2.480373,48.902658,"2001-07-17","non","non","oui","non connu",0,0,0,119,49,49,42,"DE_2001_A_2010","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"167548",200057875,"93010","AC1872787","2018-02-26","2025-08-23","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2024-03-30","RESIDENCE VILLA ROMANA","36 av de la republique 93140 Bondy","36 av de la republique",93140,"Bondy","36 av de la republique 93140 Bondy","non connu","non connu",1,2.479353,48.900177,"1997-11-14","non","non","oui","non connu",0,0,0,33,22,22,0,"DE_1994_A_2000","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"169462",200057875,"93010","AC2143469","2018-03-06","2025-08-23","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2021-03-10","SDC 56 BLD CARNOT","56 av carnot 93140 Bondy","56 av carnot",93140,"Bondy","non connu","non connu","non connu",0,2.481402,48.89977,"2014-07-04","non","non","oui","non connu",0,0,0,10,6,6,0,"NON_CONNUE","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"173965",200057875,"93010","AC2766426","2018-03-16","2025-08-23","professionnel","FONCIA MANAGO 30265417300020","FONCIA MANAGO ","30265417300020","6832A","EZANVILLE","Mandat en cours","2027-09-30","COTE TERRASSE","4 r du sergent bobillot 93140 BONDY","4 r du sergent bobillot",93140,"BONDY","non connu","non connu","non connu",0,2.476176,48.896161,"2014-01-01","non","non","oui","non connu",0,0,0,53,25,25,22,"A_COMPTER_DE_2011","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"180411",200057875,"93010","AC3648854","2018-04-06","2025-12-27","professionnel","CABINET ABD GESTION 50778433800026","CABINET ABD GESTION ","50778433800026","6832A","PARIS 19","Mandat en cours","2026-06-30","SDC 3 bis rue de la Fraternité","3B r de la fraternite 93140 Bondy","3B r de la fraternite",93140,"Bondy","non connu","non connu","non connu",0,2.476901,48.898869,"1962-09-17","non","non","oui","non connu",0,0,0,72,31,31,10,"DE_1961_A_1974","93010000AI0104","93010","000","AI","0104","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"180607",200057875,"93010","AC3677143","2018-04-05","2025-08-23","professionnel","FONCIA CHADEFAUX LECOQ 59202763500032","FONCIA CHADEFAUX LECOQ ","59202763500032","6831Z","AUBERVILLIERS","Mandat en cours","2026-06-30","26 rue du Maréchal de Lattre de Tassigny  BONDY","26 rue du Maréchal de Lattre de Tassigny 93140 BONDY","26 rue du Maréchal de Lattre de Tassigny",93140,"BONDY","non connu","non connu","non connu",0,2.482917,48.904437,"2017-06-28","non","non","oui","non connu",0,0,0,26,13,13,13,"A_COMPTER_DE_2011","930100000P0129","93010","000","0P","0129","930100000P0160","93010","000","0P","0160","","non connu","non connu","non connu","non connu",2,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"183144",200057875,"93010","AC4000931","2018-04-12","2025-08-23","professionnel","UNITIA 82293322200025","UNITIA ","82293322200025","6832A","MONTREUIL","Mandat en cours","2026-06-11","139 AVENUE CARNOT","139 av carnot 93140 Bondy","139 av carnot",93140,"Bondy","139 av carnot 93140 Bondy","non connu","non connu",1,2.479688,48.895901,"1964-10-08","non","non","oui","non connu",0,0,0,12,10,10,1,"DE_1961_A_1974","93010000AS0167","93010","000","AS","0167","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"187415",200057875,"93010","AC4570693","2018-04-24","2025-08-23","professionnel","FONCIA MANAGO 30265417300020","FONCIA MANAGO ","30265417300020","6832A","EZANVILLE","Mandat en cours","2026-06-30","RESIDENCE BONDY JORELLE","39 av marie curie 93140 BONDY","39 av marie curie",93140,"BONDY","non connu","non connu","non connu",0,2.491024,48.894459,"2005-02-03","non","non","oui","non connu",0,0,0,45,23,23,22,"DE_2001_A_2010","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"187421",200057875,"93010","AC4571352","2018-04-24","2025-08-23","professionnel","FONCIA MANAGO 30265417300020","FONCIA MANAGO ","30265417300020","6832A","EZANVILLE","Mandat en cours","2026-06-30","RESIDENCE BONDY JORELLE/COPRO2","1 av marie curie 93140 Bondy","1 av marie curie",93140,"Bondy","non connu","non connu","non connu",0,2.490157,48.893274,"2005-06-27","non","non","oui","non connu",1,0,0,31,14,14,17,"DE_2001_A_2010","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"188782",200057875,"93010","AC4755179","2018-04-26","2025-10-11","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2026-12-31","SDC 2 VILLA DU BREUIL","2 Villa du Breuil 93140 Bondy","2 Villa du Breuil",93140,"Bondy","non connu","non connu","non connu",0,2.474289,48.900389,"1971-03-24","non","non","oui","",0,0,0,24,12,12,0,"AVANT_1949","93010000AH0060","93010","000","AH","0060","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"189056",200057875,"93010","AC4791471","2018-05-04","2025-11-29","professionnel","HOMELAND 81834144800038","HOMELAND ","81834144800038","6832A","MONTREUIL","Mandat en cours","2027-06-24","COEUR VAILLANT","13 r edouard vaillant 93140 Bondy","13 r edouard vaillant",93140,"Bondy","19 r edouard vaillant 93140 Bondy","non connu","non connu",1,2.478619,48.896479,"2016-07-29","non","non","oui","non connu",0,0,0,67,49,49,18,"A_COMPTER_DE_2011","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"191177",200057875,"93010","AC5118815","2018-05-09","2025-08-23","professionnel","LAMY 48753009903368","LAMY ","48753009903368","6831Z","LYON","Mandat en cours","2026-03-30","90 RUE ROGER SALENGRO  - MS1580","90 Rue Roger Salengro 93140 Bondy","90 Rue Roger Salengro",93140,"Bondy","non connu","non connu","non connu",0,2.477512,48.898108,"1987-01-01","non","non","oui","non connu",0,0,0,42,21,19,21,"DE_1975_A_1993","93010000AI0136","93010","000","AI","0136","93010000AI0141","93010","000","AI","0141","","non connu","non connu","non connu","non connu",2,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"191220",200057875,"93010","AC5124342","2018-05-09","2025-08-23","professionnel","CABINET NICOLAS & CIE - ADMINISTRATEUR DE BIENS 39883799700053","CABINET NICOLAS & CIE - ADMINISTRATEUR DE BIENS ","39883799700053","6832A","PARIS","Mandat en cours","2026-06-30","4140 - SDC 151/153 AVENUE DE LA REPUBLIQUE","151 Avenue de la République 93140 Bondy","151 Avenue de la République",93140,"Bondy","non connu","non connu","non connu",0,2.478115,48.896169,"2016-10-14","non","non","oui","non connu",0,0,0,71,49,49,22,"A_COMPTER_DE_2011","93010000AT0111","93010","000","AT","0111","93010000AT0112","93010","000","AT","0112","","non connu","non connu","non connu","non connu",2,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
