"","référence","date de la demande","année du dépôt","NOM","Adresse du demandeur","n°de l'adresse du chantier","adresse du chantier","section cadastrale","n° parcelle","surface du terrain en m²","nature des travaux envisagés","date de la décision autorisation","date de décision refus","Tél auteur du projet","Dates d'affichage             en mairie"
"129","15B0005","42172",2015,"BEAUTY'S COIFFURE : Mme MOGHRANI","33 Allée de la Paix Bondy","45 bis","L.A.Blanqui  (rue )",,,,"Aménagement d'un salon de coiffure",,,,
"130","15B0006","42201",2015,"LE BLUES BAR : Donasciento Elisabeth","1 rue de la Fraternité","1","de la Fraternité (rue)","AI","91","227 m²","Réaménagement d'un bar - tabac","42444",,,
"131","15B0007","42227",2015,"SARL EMRE23 : BAG Osman","2, rue de Iris, 27500 Saint Germain Village","85","Jules Guesde (Rue )","0P","140","51,15m² ou 53m² ?","Mise en conformité aux règles d'accessibilité, aménagement d'un restaurant et d'un espace de vente, modification des façades","42507",,,
"132","15B0008","42236",2015,"LEGRAND Joelle","99bis, Avenue Carnot 93140 Bondy","99bis","Avenue Carnot","AK","60","30m²","Dérogation pour ne pas faire les travaux de mise en conformité à l'accessibilité handicapée pour cause de fin d'exercice",,,,
"133","15B0009","42256",2015,"AUPETIT","1 Avenue des Sciences Bondy","1","Avenue des Sciences",,,,"Réaménagement d'un cabinet Infirmier-Pédicure-Podologue .","42444",,,
"134","15B0010","42263",2015,"DHAINAUT","25 bis Avenue Voltaire 93190- Livry-Gargan","62-64","Roger Salengro (Rue)","AH","241","1270 m²","Réaménagement d'un cabinet de Kinésithérapie .","42486",,,
"135","15B0011","42268",2015,"DAFFOS","1Avenue des Sciences Bondy","1","Sciences (avenue des )",,,,"Réaménagement d'un cabinet de pédicure-podologie . podologie .","42444",,,
"136","15B0012","42271",2015,"Le Fontenoy : Mme TRAU","48 Route d'Aulnay Bondy","48","Aulnay (route d')",,,,"Réaménagement d'un bar-tabac","42486",,,
"137","15B0013","42271",2015,"Cabinet BROCHER-DENISARD","21 Rue Edouard Vaillant Bondy","21","Edouard Vaillant (Rue )","AJ","171",,"Demande de dérogation au titre des régles d'accessibilité (Cabinet d'infirmières )","42486",,,
"138","15B0014","42268",2015,"Etablissement DARTY & Fils : M. DOUBLIER","129 avenue Galliéni 93140 BONDY","143-155","Galliéni          (avenue )","K","117",,"Espace Vente Electro- ménager .","42444",,,
"139","15B0015","42271",2015,"Cabinet Orthoptie : Mme CLEMENT-CHOUKROUN","41 Rue Jules Guesde Bondy","41","Jules Guesde (Rue )",,,,"Réaménagement d'un cabinet d'orthoptie .","42507",,,
"140","15B0016","42276",2015,"STENE","6 Rue Rabelais-Bondy","6","Rabelais (rue )",,,,"Demande de dérogation cabinet médical","42507",,,
"141","15B0017","42292",2015,"APAJH MAURICE COUTROT","15/17 Av de Verdun","15/17","Verdun (rue de )","R et S","101/119/165",,"Mise en conformité PMR","42507",,,
"142","15B0018","42275",2015,"cabinet medical","13 rue de la Liberté","13","Liberté (rue de la )","AT","200",,"travaux d'aménagement mise en accessibilité","42507",,,
"143","15B0019","42272",2015,"CABINET MEDICAL","16 rue Louis Auguste Blanqui","16","louis Auguste Blanqui","AJ","209",,"demande dérogation",,,,
"144","15B0020","42272",2015,"CHABANNE ET HAMMAMA - AVOCATS ASSOCIES","28 RUE Edouard Vaillant","28","Edouard Vaillant","AS","4",,"demande dérogation",,,,
"145","15B0021","42272",2015,"BLOT Martine","16 rue Louis Auguste Blanqui","16","louis Auguste Blanqui","AJ","209",,"Demande de dérogation","42475",,,
"146","15B0022","42274",2015,"SERCA Vincent et Bernard","176 avenue Henri Barbusse","176","Henri Barbusse (Avenue )","Y","197",,"Aménagement d'une superette",,,,
"147","15B0023","42275",2015,"SINZELLE Brigitte","35 rue Edouard Vaillant","35","Edouard Vaillant (Rue )","AK","8",,"Demande de dérogation","42507",,,
"148","15B0024","42311",2015,"Sarl Auto-Ecole-Rubis : Mme KASMI","79 Route de Villemomble","79","Villemomble (route de )",,,,"Aménagement d'une auto-école","42507",,,
"149","15B0025","42318",2015,"Body-Minute : Mme GAURIAT","60 Rue Saint Stenay 93700 Drancy","91","Jules Guesde (Rue )","P","144-147",,"Aménagement d'un local de soins esthétiques + Vente de produits .","42507",,,
"150","15B0026","42331",2015,"Eurl CAB : M.BIGOT","22 Ter Rue Auguste Pollissard","22 Ter","Auguste Pollissard  (rue)","J","264",,"Vente d'appareils auditifs","42475",,,
"151","15B0027","42334",2015,"La Tradition  du Pain : M. YOUSSEF","103 Rue Saint Spire 91100 Corbeil - Essonnes","2","Onze Novembre (place du )","P","152",,"Aménagement d'une Boulangerie-Patisserie .","42507",,,
"152","15B0028","42342",2015,"Century 21 : M. CHRISTOPHE","197 Avenue Galliéni Bondy","197","Galliéni       (avenue )","L","51",,"Agence Immobilière",,"Ssuite 17/05/2016",,
"153","15B0029","42361",2015,"ASSOCIATION : LE ROCHER OASIS DES CITES","Avenue Suzanne Buisson Bondy",,"Suzanne Buisson (Avenue","A","218","2147 m²","Aménagement des salles et des bureaux de l'Association",,"42507",,
"154","15B0030","42368",2015,"Mme BIRSTEIN","37 Rue la Quintinie  75015 Paris","96","Anatole France (avenue )",,,,"Réaménagement d'un salon de coiffure .","42507",,,
"155","16B0001","42395",2016,"Mercedès-Benz-Etoile Rive-Est : M. HAVARD","113-121 Avenue Galliéni 93141 Bondy","113-121","Galliéni (avenue )","K",,,"Concessionnaire automobiles","42541",,,
"156","16B0002","42408",2016,"SCI Les IRIS : M.SECNAZI","35 bis Rue Roger Salengro 93140 Bondy","35 bis","Roger Salengro (Rue)","AJ","203","301 m²","Cabinet médical",,,,
"157","16B0003","42426",2016,"Le Fournil de Bondy : M. ECHI","106 Avenue Normandie Niemen 93150 Le Blanc-Mesnil","32","Léon Blum (avenue )","A","325-326-327-et 332",,"Aménagement d'une boulangerie -patisserie",,,,
"158","16B0004","42450",2016,"AP-HP:CHU Jean Verdier- Mme WALLON","Avenue du Quatorze Juillet 93143 Bondy Cedex",,"Quatorze Juillet (avenue du )","E","86",,"Local de remise en température + local four .","42593",,,
"159","16B0005","42450",2016,"AP-HP:CHU Jean Verdier- Mme WALLON","Avenue du Quatorze Juillet 93143 Bondy Cedex",,"Quatorze Juillet (avenue du )","E","86",,"Accès blocs opératoires et salle interventionnelle","42569",,,
"160","16B0006","42450",2016,"CHENG KWOK SO : M. CHENG","210 Rue Edouard Vaillant","210","Edouard Vaillant (Rue )","AQ","103",,"Réaménagement d'un bar-tabac Le Cyrano","42593",,,
"161","16B0007","42454",2016,"M. ABECASSIS","6 Rue Rabelais-Bondy","6","Rabelais (rue )",,,,"Réaménagement du cabinet médical .","42593",,,
"162","16B0008","42461",2016,"Mme TAHA","6, Allée des Dahlias à Bondy","70 bis","Avenue du Maréchal de Lattre de Tassigny",,,,"Aménagement d'un local vide en restaurant ''Le nouveau Dakar ''",,,,
"163","16B0009","42474",2016,"ADL : M. LAZRAG","1 Avenue Clara Grandet","1","Clara Grandet (avenue )","G","99",,"Réaménagement d'une Boulangerie-Patisserie",,,,
"164","16B0010","42521",2016,"BONDY FORME -                                     M. MORITZ et BAPTISTE Frank-Rodolphe","2, Rue Neuve, 93140 Bondy","2","Rue Neuve, 93140 Bondy","Q","5","4096 m²","Accessibilité- Aménagement ERP sportif","42691",,,"17/11/2016     17/01/2017"
"165","16B0011","42522",2016,"Ville de Bondy : Mme THOMASSIN","Esplanade Claude Fuzier 93143 Bondy Cedex","136","Louis Auguste Blanqui (rue )","AM","63-97",,"Réaménagement -Accessibilité Ecole élémentaire Jules Ferry","42607",,,
"166","16B0012","42522",2016,"Ville de Bondy: Mme THOMASSIN","Esplanade Claude Fuzier 93143 Bondy Cedex","30","Paul Vaillant Couturier","AH","78-79-273",,"Réaménagement Ecole Mainguy","42639",,,
"167","16B0013","42522",2016,"Ville de Bondy : Mme THOMASSIN","Esplanade Claude Fuzier 93143 Bondy Cedex","Hôtel de ville","Esplanade Claude Fuzier 93143 Bondy","AD","154",,"Transformation du logement de fonction en bureaux","42599",,,
"168","16B0014","42402",2016,"BARUCH","41 Rue Roger Salengro Bondy","41","Roger Salengro (rue )","AJ","187",,"Cabinet dentaire",,,,
"169","16B0015","42527",2016,"Conseil Régional IDF : M. GAILLARD","24 Rue du Général Bertrand -75007 Paris","11","Frémin (rue )","AF","85",,"Rénovation de la chaufferie du Lycée Jean Renoir","42620",,,
"170","16B0016","42536",2016,"Carrefour Contact : M. LEDEZ","3 Avenue du Canada CS 20032 Les Ulis -91842 Courtaboeuf","11","Nicole Neuburger               ( place )","R","141-143",,"Transformation de l'Ecomarché en Carrefour market","42710",,,
"171","16B0017","42544",2016,"Mme NORMAND","96 Avenue de la République  Bondy","96","République (avenue de la )","AJ","10","515 m²","Cabinet de Kinésithérapie .","42614",,,
"172","16B0018","42544",2016,"ICF La Sablière : M. VIDON","24 Rue de Paradis -75010 Paris","156","Villemomble (route de )","BC","75",,"Alimentation-Boulangerie-Patisserie",,,,
"173","16B0019","42559",2016,"Pharmacie de la place M .GOULAMHOUSSEN","1 Place Nicole Neuburger - bondy","1","Nicole Neuburger (place )",,,,"Pharmacie",,"42569",,
"174","16B0020","42566",2016,"Sas ECC Cuisines SCHMIDT : M. BOURROUX","114-118 Avenue Galliéni Bondy","114-118","Galliéni         (avenue )","P","91-92",,"Espace-vente mobilier de cuisines",,,,
"175","16B0021","42572",2016,"AP-HP Hopital Jean Verdier : M. FRANDJI","Avenue du Quatorze Juillet / 2 Rue Arthur Groussier 93140 Bondy",,"Avenue du Quatorze Juillet / 2 Rue Arthur Groussier 93140 Bondy","E","86","31255 m²","Aménagement des laboratoires .","42663",,,
"176","16B0022","42585",2016,"Palais de Chine : ZHU Céline","27 Rue Jules Guesde Bondy","27","Jules Guesde (Rue )","I","86-87","397.95 m²","Création de volumes nouveaux dans volumes existants","42691",,,"17/11/2016    17/01/2017"
"177","16B0023","42586",2016,"COSYNA - SAS BELLE : EL HASNAOUI Karim","1 Mail Frachon 93300 Aubervilliers","26","Leon Blum (Avenue)",,,"200 m²","Travaux de mise en conformité + création de nouveaux volumes dans existants + aménagements",,"42691",,"17/11/2016     17/01/2017"
"178","16B0024","42587",2016,"SAS Clinique Ambroise Paré de Bondy : Mme JEANDEL Christine","2 Avenue Jean Moulin, Bondy","2","Jean Moulin (avenue)","B","247",,"Changement du système de sécurité","42668",,,"25/10/2016                        25/12/2016"
"179","16B0025","42613",2016,"Sarl Le Fournil :M. AMIMER","51 Rue Jane JOYE 93700 Drancy","45","L.A.Blanqui         (rue )","C","51","28520 m²","Aménagement d'un local en boulangerie .","42723",,,"19/12/2016     19/02/2016"
"180","16B0026","42635",2016,"CREDIT AGRICOLE D'ILE DE France: M.LEBELLE","26 Quai de la Rapéé 75012 PARIS","69","Jules Guesde (rue)","J","318",,"Aménagement interieur. Agence bancaire","42723",,,"19/12/2016    19/02/2017"
"181","16B0027","42653",2016,"VASTA","1 Place Nicole Neuburger - bondy","1","Nicole Neuburger (Place)","R","141",,"Réaménagement d'une pharmacie","42723",,,"19/12/2016    19/02/2017"
"182","16B0028","42678",2016,"Conseil Départemental : Mme Beauchemin","Hôtel du Département   93006 Bobigny- Cedex","20","Léon Blum (avenue )","A","276",,"Construction d'un local poussettes extétieur .","42761",,,"26/01/2017 26/03/2017"
"183","16B0029","42731",2016,"Ville de Bondy","Esplanade Claude Fuzier, 93140 BONDY","48","Roger Salengro (Rue)","AH","179",,"Réaménagement de la Ferme Caillard",,"42859",,
"184","17B0001","42745",2017,"Hôpital Jean Verdier : M. FRANDJI","Avenue du Quatorze Juillet 93143 Bondy Cedex",,"Quatorze Juillet (avenue )","C","130",,"Restructuration du SAU Pédiatrique","42859",,,
"185","17B0002","42744",2017,"OPF : M. WATRIN","31 Rue de Cambrai -","1","République (cours de la )","AD","106",,"Réaménagement du local des Pompes Funèbres","2017",,,"07/04/2017 07/06/2017"
"186","17B0003","42747",2017,"WIGO Travel : M. SARDOUK","10 Rue du Potager Bondy",,"Rosny (Avenue )",,,,"Stationnement véhicules+ pose d'un châlet pour l'accueil .",,"sans suite 20/02/2017",,"21/02/2017 21/04/2017"
"187","17B0004","42780",2017,"Association ''Le Rocher Oasis des Cités '': M. MARY","Avenue Suzanne Buisson Bondy",,"Suzanne Buisson (Avenue","A","218",,"Salles associatives + bureaux",,"42906",,
"188","17B0005","42786",2017,"Groupe SOS Solidarité: M. ROUILLE D'ORTEFEUILLE","102 C Rue Amelot 75011 Paris","92","L.A.Blanqui (rue)","AL","138","293 m²","Transformation d'une habitation en centre d'accueil .","42879",,,
"189","17B0006","42804",2017,"SCI SASU : Mme CHELLI","63 Ter Avenue Henri Barbusse 93270 Sevran","87","Roger Salengro (rue )","AT","198",,"Local commercial  en Auto-école .","42894",,,
"190","17B0007","42810",2017,"Centre d'Action Sociale de la Ville de Paris : M. NIZARD","5 Boulevard Diderot 75589 Paris Cedex 12","6","Marx Dormoy (Avenue )",,,"15033 m²","Travaux d'amélioration du compartimentage du sous-sol .","42906",,,
"191","17B0008","42835",2017,"SNCF : M. CAPET","185 Rue de Bercy 75579 Paris Cedex 12","1","Place de la République (Gare )",,,,"Réaménagement de la Gare Station du Tram Train T 4","02.08.2017",,,
"192","17B0009","42839",2017,"SCI MAACH  & Plaisir Gourmand : M. MAACH","31 Avenue Henri Barbusse","31","Henri Barbusse (Avenue )","Q","25",,"Réaménagement d'un local commercial en restaurant .",,"42950",,
"193","17B0010","42844",2017,"Etablissement Public de Santé Ville Evrard : Mme ALBERT.","202 Avenue Jean Jaurès  93330 Neuilly-sur-marne","13-15","Lucien Chapelain (rue)","C","143",,"Réaménagement intérieur et extérieur .","02.08.2017",,,
"194","17B0011","42867",2017,"AJPA : M. RAVY","66 Avenue Anatole France Bondy","66","Anatole France (avenue )","AQ","165",,"Aménagement d'une auto-école","42957",,,
"195","17B0012","42879",2017,"NEWDNERA  20  : M. BERNABEU","123 QUAI Jules Guesde 94400 VITRY SUR SEINE","11","Nicole Neuburger (place)","R","141; 143",,"Aménagement d'un supermarché  FRANPRIX","43017",,,
"196","17B0013","42888",2017,"Mairie de Bondy : Mme THOMASSIN","esplanade Claude Fuzier 93143 Bondy Cedex","48","Roger Salengro (Rue)","AH","179","984m²","aménagement d'une salle de spectacle en RDC + bureaux en RDC et R+1","42968",,,
"197","17B0014","42905",2017,"CPAM : M. Le BELLEC","195 Rue Paul Vaillant Couturier 93014 Bobigny","9         13","Marx Dormoy  (rue )","C","173",,"Centre de loisirs Michel Farnolle en agence locale d'assurance maladie",,,,
"198","17B0015","42902",2017,"ICF La Sablière  : Mme MOMAL","24 Rue de Paradis -75010 Paris","156","Villemomble (route de )","BC","75",,"Magasin alimentation .","42998",,,
"199","17B0016","42909",2017,"CCAS VILLE DE PARIS: M. NIZARD Philippe","5 bd Diderot 75589 Paris cedex 12","6","Marx Dormoy (avenue)","F","102; 103; 166 173","21850m²","mise en conformité du système de sécurité incendie de l'établissement (EHPAD)","accord le 22/02/2018","43061",,
"200","17B0017","42908",2017,"Sas TASLITE Alimentations : M. OUABBAS","31 Avenue Henri Barbusse 93140 Bondy","31","Henri Barbusse (Avenue )","Q","25","7403 m²","Réaménagement d'une station service en un lieu de restauration rapide .",,"43038",,
"201","17B0018","42908",2017,"Le Petit Makla","31 Avenue Henri Barbusse 93140 Bondy","31","Henri Barbusse (Avenue )","Q","25","7403 m²","Aménagemnt d'une boucherie-charcuterie .","43024",,,
"202","17B0019","42914",2017,"Mme TAHA ''Le Nouveau Dakar ''","6 Allée des Dahlias 93140 Bondy","70 bis","Maréchal de Lattre de Tassigny avenue )","P","157",,"Local commercial en restaurant",,"43038",,
"203","17B0020","42923",2017,"M. VIART","41 Rue Jules Guesde Bondy","41","Jules Guesde (rue )",,,,"Demande de dérogation pour un cabinet médical .",,"43062",,
"204","17B0021","42928",2017,"La Poste Seine-Saint-Denis : M. CALASCIBETTA","200 Avenue Paul Vaillant Couturier 93008 Bobigny","La Poste Bondy-Noue-Caillet","2","Suzanne Buisson (avenue )",,,"Mise aux normes ''Accessibilité ''","43068",,,
"205","17B0022","42934",2017,"Banque Populaire Rives de Paris : M. CHAILAN","76-78 Avenue de France 75201 Paris Cedex 13","16-18","Auguste Pollissard","J","259","464 m²","Aménagement en banque et libre service bancaire .","43024",,,
"206","17B0023","42948",2017,"DA SILVA","8 Rue Saint Germain 93220 Gagny","5","Frères Darty (rue des )","P","129",,"Local commercial en librairie","43026",,,
"207","17B0024","42951",2017,"Etoile du Liban : M. HAGE","8 Allée des Deux Communes   Bondy","8","Deux Communes (allée des )","BC","46","439 m²","Aménagement d'une boulangerie-Patisserie .",,"43077",,
"208","17B0025","42954",2017,"TLEMCANI","27 Rue Jules Guesde Bondy","27","Jules Guesde (rue )","I","86",,"Réaménagement d'un restaurant en restauration rapide ''HARRY ""  Café",,"43077",,
"209","17B0026","42957",2017,"Sas Mister Z : M. ZEYBEL","33 Boulevard de Lagny 77600 Bussy Saint Georges","108","Galliéni  (avenue )","P","80",,"Boutique Station Esso en restauration rapide "" Jimmy's Burger ""","43068",,,
"210","17B0027","42985",2017,"SASU Elite Conduite Auto Ecole: M. LACHHEB","40 bis rue Godefroy 92800 Puteaux","138 bis","Villemomble (route de )","BC","75","24737m²","transformation d'un taxi phone en auto école",",,",,,
"211","17B0028","42992",2017,"Plancha Grill : M. WANG","97  Avenue de Lattre de Tassigny 93800 Epinay","52","Galliéni   (avenue )","I","84 et 78",,"Transformation d'un magasin de chaussures en restaurant .","43087",,,
"212","17B0029","43024",2017,"SCI MAACH et PLAISIR GOURMAND: M. MAACH Mohammed","31 avenue Henri Barbusse 93140 Bondy","31","Henri Barbusse (Avenue )","Q","25","7403m²","ouverture d'un restaurant de restauration rapide",,"43153",,
"213","17B0030","43026",2017,"Société Général : Mme RAZOUK","189 Rue d'Aubervilliers -75886 Paris Cedex 18","152","Roger Salengro (rue )","AT","207-210","3408 m²","Agence Société Générale","43119",,,
"214","17B0031","43034",2017,"M. DERBAL","484 Cité des Blés d'Or 93150 Le Blanc-Mesnil","9 et 11","Rond Point du Verger","A","224",,"Speak Easy Coffee Restaurant Lounge",,"43153",,
"215","17B0032","43039",2017,"M. BOUKHATEB","68 Avenue du Dauphiné   77290 Mitry-Mory","4","Léon Blum (avenue )","B","250",,"Local commercial en Auto-Ecole","43178",,,
"216","17B0033","43045",2017,"M. MANCEAU Philippe","38 Rue Louis Auguste Blanqui Bondy","58","Roger Salengro  (rue )","AH","184","808m²","Transformation d'un magasin d'antiquités en clinique vétérinaire .","43119",,,
"217","17B0034","43049",2017,"Mme TAHA ''Le Nouveau Dakar ''","6 Allée des Dahlias 93140 Bondy","70 bis","Maréchal de Lattre de Tassigny avenue )","P","157",,"Local commercial en restaurant","43119",,,
"218","17B0035","43054",2017,"Est Ensemble : M. COSME","100 Avenue Gaston Roussel 93230 Romainville","39","Roger Salengro (rue )","AD","143","7366m²","Phase 1 du réaménagemnt de la Bibliothèque Denis Diderot .","43196",,,
"219","17B0036","43091",2017,"Est Ensemble : M. COSME","100 Avenue Gaston Roussel 93230 Romainville","39 bis","Roger Salengro (rue )","AD","143","7366m²","modification de la distribution intérieure + mise aux normes sécurité et accessibilité PMR du conservatoire de musique","43210",,,
"220","17B0037","43091",2017,"Etoile du Liban: M. HAGE Nicolas","8 Allée des Deux Communes   Bondy","8","Deux Communes (allée des )","BC","46","439 m²","Aménagement d'une boulangerie-Patisserie .","43210",,,
