"","testSection","testParcelle","",""
"929","C","183.184","C","183.184"
"930","AG","84","AG","84"
"931","AL","16","AL","16"
"932","AS","98","AS","98"
"933","AG","102","AG","102"
"934","AG","152","AG","152"
"935","AU","146","AU","146"
"936","E,L","86.129999999999995","E,L","86.129999999999995"
"937","F","28","F","28"
"938","AU","33.34.35","AU","33.34.35"
"939","X","34","X","34"
"940","K","50","K","50"
"941","","","",""
"942","AR","22-31","AR","22-31"
"943","","","",""
"944","BF","114","BF","114"
"945","AI","69","AI","69"
"946","","","",""
"947","A","36","A","36"
"948","K","161,;109","K","161, 109"
"949","","","",""
"950","AI","101","AI","101"
"951","AK","9;,27","AK","9 , 27"
"952","AQ","19","AQ","19"
"953","AB","9","AB","9"
"954","AN","82","AN","82"
"955","AK","27","AK","27"
"956","AS","49","AS","49"
"957","D","4","D","4"
"958","AV","89","AV","89"
"959","AQ","103","AQ","103"
"960","AS","76","AS","76"
"961","AN","82","AN","82"
"962","P","53","P","53"
"963","AV","61","AV","61"
"964","S","69","S","69"
"965","D","101","D","101"
"966","AR","5","AR","5"
"967","AY","19","AY","19"
"968","U","112","U","112"
"969","AR","107","AR","107"
"970","","","",""
"971","AN","144","AN","144"
"972","AN","156","AN","156"
"973","AQ","153","AQ","153"
"974","AH","171","AH","171"
"975","AO","73","AO","73"
"976","J","91","J","91"
"977","AR","49","AR","49"
"978","AG","70","AG","70"
"979","BE","151","BE","151"
"980","F","87","F","87"
"981","AO","194","AO","194"
"982","A","84","A","84"
"983","G","8;/133","G","8 /133"
"984","AQ","52","AQ","52"
"985","","","",""
"986","V","133","V","133"
"987","AV","71","AV","71"
"988","AG","140,141,142;Lot1","AG","140,141,142 Lot 1"
"989","M","49","M","49"
"990","AH","154","AH","154"
"991","AK","9","AK","9"
"992","","","",""
"993","N","13","N","13"
"994","BF","37/38","BF","37/38"
"995","AB","89","AB","89"
"996","B","26","B","26"
"997","AV","32","AV","32"
"998","AO","128","AO","128"
"999","A","272","A","272"
"1000","AK","103","AK","103"
"1001","Q","48","Q","48"
"1002","Y","114","Y","114"
"1003","AQ","273","AQ","273"
"1004","AK","22","AK","22"
"1005","AN","72","AN","72"
"1006","Y","108","Y","108"
"1007","AO","214","AO","214"
"1008","BF","166","BF","166"
"1009","BD","170","BD","170"
"1010","D","45","D","45"
"1011","AN","204","AN","204"
"1012","P","90","P","90"
"1013","AK","82","AK","82"
"1014","AJ","181","AJ","181"
"1015","G","32","G","32"
"1016","Sous;ViaducA86","","Sous Viaduc A 86",""
"1017","AQ","114","AQ","114"
"1018","Z","61","Z","61"
"1019","Y","258","Y","258"
"1020","H","106.107","H","106.107"
"1021","AQ","33","AQ","33"
"1022","","","",""
"1023","AB","54","AB","54"
"1024","AZ","71","AZ","71"
"1025","H","66","H","66"
"1026","A","162;,292","A","162 ,292"
"1027","AH","93","AH","93"
"1028","Y","25.262","Y","25.262"
"1029","","","",""
"1030","AH","244","AH","244"
"1031","BD","65","BD","65"
"1032","B","293","B","293"
"1033","AT","","AT",""
"1034","H","234","H","234"
"1035","AX","173,55,91","AX","173,55,91"
"1036","R","3","R","3"
"1037","AO","1.1419999999999999","AO","1.1419999999999999"
"1038","AC","26","AC","26"
"1039","A","255","A","255"
"1040","AG","126","AG","126"
"1041","Y","185","Y","185"
"1042","BF","198","BF","198"
"1043","AT
AU","202
183","AT
AU","202
183"
"1044","AD","139","AD","139"
"1045","AT","189
184
186","AT","189
184
186"
"1046","AC","29
17
43","AC","29
17
43"
"1047","M","99
111
126","M","99
111
126"
"1048","AQ","43
25","AQ","43
25"
"1049","A","82","A","82"
"1050","F","63","F","63"
"1051","Z","10","Z","10"
"1052","BD","165","BD","165"
"1053","AU","175
73","AU","175
73"
"1054","AQ","33","AQ","33"
"1055","AE","167","AE","167"
"1056","AR","120","AR","120"
"1057","AJ","98","AJ","98"
"1058","AK","22","AK","22"
"1059","Q","48","Q","48"
"1060","AN","82","AN","82"
"1061","BD","151","BD","151"
"1062","BF","101.102","BF","101.102"
"1063","AP","5","AP","5"
"1064","AO","35","AO","35"
"1065","BD","86","BD","86"
"1066","BD","70","BD","70"
"1067","X","14","X","14"
"1068","J","277","J","277"
"1069","X","89","X","89"
"1070","Q","36
38","Q","36
38"
"1071","AZ","199","AZ","199"
"1072","AI","69","AI","69"
"1073","AG","283","AG","283"
"1074","AQ","75","AQ","75"
"1075","AU","124,126,128","AU","124,126,128"
"1076","AU","124,126,128","AU","124,126,128"
"1077","A","101","A","101"
"1078","C","130","C","130"
"1079","AP","82","AP","82"
"1080","AN","166","AN","166"
"1081","AV","87","AV","87"
"1082","AN","132","AN","132"
"1083","AH","85","AH","85"
"1084","BC","68","BC","68"
"1085","AT","157","AT","157"
"1086","","","",""
"1087","AH","136","AH","136"
"1088","V","57","V","57"
"1089","AV","79","AV","79"
"1090","BF","90","BF","90"
"1091","K","60
106","K","60
106"
"1092","U","13","U","13"
"1093","R","29","R","29"
"1094","BF","189","BF","189"
"1095","AK","","AK",""
"1096","AV","60","AV","60"
"1097","AI","64","AI","64"
"1098","A","8","A","8"
"1099","AB","7","AB","7"
"1100","AP","153","AP","153"
"1101","R","128","R","128"
"1102","AP","167","AP","167"
"1103","AB","30","AB","30"
"1104","E","80","E","80"
"1105","AR","103","AR","103"
"1106","Y","120","Y","120"
"1107","AR","117","AR","117"
"1108","J","1.2","J","1.2"
"1109","Q;etO","41-75","Q et O","41-75"
"1110","AQ","275","AQ","275"
"1111","AD","74;et109","AD","74 et 109"
"1112","AT","22","AT","22"
"1113","AN","204","AN","204"
"1114","BG","22","BG","22"
"1115","I","22.23.24.25","I","22.23.24.25"
"1116","G","30","G","30"
"1117","G","162","G","162"
"1118","D","6","D","6"
"1119","","","",""
"1120","AN","176","AN","176"
"1121","S","128","S","128"
"1122","AK","9;,27","AK","9 , 27"
"1123","X","45","X","45"
"1124","AG","219","AG","219"
"1125","S","89","S","89"
"1126","B","10","B","10"
"1127","BF","107","BF","107"
"1128","AT","97","AT","97"
"1129","AQ","93","AQ","93"
"1130","D","36","D","36"
"1131","AU","144","AU","144"
"1132","A","81","A","81"
"1133","K","114-116","K","114-116"
"1134","AL","152","AL","152"
"1135","AS","56","AS","56"
"1136","","","",""
"1137","AR","53","AR","53"
"1138","AX","173","AX","173"
"1139","T","10","T","10"
"1140","AN","44","AN","44"
"1141","BF","90","BF","90"
"1142","BF","166","BF","166"
"1143","AP","6","AP","6"
"1144","AZ","25","AZ","25"
"1145","K","117","K","117"
"1146","T","57","T","57"
"1147","AH","187","AH","187"
"1148","OT","59","OT","59"
"1149","A","267","A","267"
"1150","AE","52","AE","52"
"1151","N","24","N","24"
"1152","AP","19","AP","19"
"1153","AH","85","AH","85"
"1154","AQ","151","AQ","151"
"1155","AB","9","AB","9"
"1156","E","44","E","44"
"1157","H","242,244,289,350,370","H","242,244,289,350,370"
"1158","AK","36","AK","36"
"1159","AQ","93","AQ","93"
"1160","AE","99","AE","99"
"1161","AE","165","AE","165"
"1162","AV","209","AV","209"
"1163","AN","132","AN","132"
"1164","AM","296","AM","296"
"1165","AC","43","AC","43"
"1166","E,L","86.129999999999995","E,L","86.129999999999995"
"1167","S","70","S","70"
"1168","J","1.2","J","1.2"
"1169","B","189","B","189"
"1170","AL","152","AL","152"
"1171","T","58","T","58"
"1172","X","115","X","115"
"1173","M","84","M","84"
"1174","T","26","T","26"
"1175","B","24","B","24"
"1176","T","185","T","185"
"1177","AO","203","AO","203"
"1178","U","119","U","119"
"1179","AJ","182","AJ","182"
"1180","AO","17","AO","17"
"1181","G","19","G","19"
"1182","","","",""
"1183","AV","3","AV","3"
"1184","K","114
118","K","114
118"
"1185","Y","106","Y","106"
"1186","AK","92","AK","92"
"1187","AM","296","AM","296"
"1188","AI","43","AI","43"
"1189","AO","208","AO","208"
"1190","H","171/220/234","H","171/220/234"
"1191","AJ","207","AJ","207"
"1192","D","94","D","94"
"1193","H","234","H","234"
"1194","H","234","H","234"
"1195","J","236","J","236"
"1196","BF","137","BF","137"
"1197","AE","99","AE","99"
"1198","AI","59","AI","59"
"1199","P","8.9.10.11.77","P","8.9.10.11.77"
"1200","AU","19(lot;2)
153","AU","19(lot 2)
153"
"1201","Y","4","Y","4"
"1202","AN","166","AN","166"
"1203","AG","215","AG","215"
"1204","H","234","H","234"
"1205","AN","82","AN","82"
"1206","AO","123","AO","123"
"1207","R","127","R","127"
"1208","AZ","84","AZ","84"
"1209","H","234","H","234"
"1210","AB","88","AB","88"
"1211","AQ","114","AQ","114"
"1212","AR","123","AR","123"
"1213","Y","258","Y","258"
"1214","S","44","S","44"
"1215","AU","31","AU","31"
"1216","D","36
153","D","36
153"
"1217","AQ","19","AQ","19"
"1218","AG","152","AG","152"
"1219","B","189.19","B","189.19"
"1220","AU","153","AU","153"
"1221","F","102,103,104,105","F","102,103,104,105"
"1222","J","6,11,15,17,187,194,280","J","6,11,15,17,187,194,280"
"1223","AU","196","AU","196"
"1224","BD","152","BD","152"
"1225","B","292","B","292"
"1226","T","12","T","12"
"1227","AV","32","AV","32"
"1228","G","108","G","108"
"1229","H","171/220/234","H","171/220/234"
"1230","AO","127","AO","127"
"1231","U","13","U","13"
"1232","AL","68","AL","68"
"1233","AF","85","AF","85"
"1234","AX","115","AX","115"
"1235","AT","132","AT","132"
"1236","V","87","V","87"
"1237","AQ","47","AQ","47"
"1238","AT","123","AT","123"
"1239","X","55","X","55"
"1240","A","101","A","101"
"1241","AU","163","AU","163"
"1242","AQ","151","AQ","151"
"1243","AF","227","AF","227"
"1244","E;,L","86,92,;et130","E ,L","86,92,  et 130"
"1245","BF","131","BF","131"
"1246","AU","196","AU","196"
"1247","U","195","U","195"
"1248","BD","86","BD","86"
"1249","AR","148","AR","148"
"1250","O","50","O","50"
"1251","G","41","G","41"
"1252","S","44","S","44"
"1253","AK","52","AK","52"
"1254","AG","215","AG","215"
"1255","G","32","G","32"
"1256","G","32","G","32"
"1257","T","153","T","153"
"1258","AE","9-12-13-102-107-108-177-113-114-6-8-7","AE","9-12-13-102-107-108-177-113-114-6-8-7"
"1259","R","29","R","29"
"1260","AJ","92","AJ","92"
"1261","BG","28","BG","28"
"1262","AT","202","AT","202"
"1263","AP","209","AP","209"
"1264","B","189
190","B","189
190"
"1265","AM","38","AM","38"
"1266","J","48","J","48"
"1267","AH","161","AH","161"
"1268","P","26","P","26"
"1269","BF","30","BF","30"
"1270","U","15","U","15"
"1271","U","15","U","15"
"1272","O","59","O","59"
"1273","AI","68","AI","68"
"1274","E","86,92,130","E","86,92,130"
"1275","AE","96","AE","96"
"1276","BF","100","BF","100"
"1277","AP","29","AP","29"
"1278","AP","34","AP","34"
"1279","AN","81","AN","81"
"1280","AJ","47","AJ","47"
"1281","AK","101","AK","101"
"1282","F

E","110-108-112-114-
85","F

E","110-108-112-114-
85"
"1283","F

E","110-108-112-114-
85","F

E","110-108-112-114-
85"
"1284","E
L","86-92
130","E
L","86-92
130"
"1285","AE","43","AE","43"
"1286","J","253","J","253"
"1287","AV","3","AV","3"
"1288","AN","82","AN","82"
"1289","BF","166","BF","166"
"1290","AV","37","AV","37"
"1291","AG","122","AG","122"
"1292","BG","28","BG","28"
"1293","AR","124","AR","124"
"1294","Q","5","Q","5"
"1295","AO","216","AO","216"
"1296","AS","201","AS","201"
"1297","","149;ET234","","149 ET 234"
"1298","AH","237","AH","237"
"1299","G","91;(Lot1)","G","91 (Lot 1)"
"1300","B","140","B","140"
"1301","S","184","S","184"
"1302","E","84","E","84"
"1303","AI","68","AI","68"
"1304","AO","229","AO","229"
"1305","H","81-82-320","H","81-82-320"
"1306","X","9","X","9"
"1307","AO","71","AO","71"
"1308","B","234","B","234"
"1309","AE","59","AE","59"
"1310","AH","161","AH","161"
"1311","K","109;-61","K","109  - 61"
"1312","B","209","B","209"
"1313","BG","28","BG","28"
"1314","AR","148","AR","148"
"1315","AQ","156","AQ","156"
"1316","K","55.560000000000002","K","55.560000000000002"
"1317","AZ","84","AZ","84"
"1318","BC","75","BC","75"
"1319","AQ","275","AQ","275"
"1320","BF","43","BF","43"
"1321","Y","75","Y","75"
"1322","F","108.11","F","108.11"
"1323","AS","7","AS","7"
"1324","F","112.114","F","112.114"
"1325","E","85","E","85"
"1326","F","112-113-114","F","112-113-114"
"1327","C","162","C","162"
"1328","AH","237","AH","237"
"1329","AS","201","AS","201"
"1330","AM","53","AM","53"
"1331","AG","193","AG","193"
"1332","Z","43","Z","43"
"1333","R","46","R","46"
"1334","AN","91","AN","91"
"1335","G","68","G","68"
"1336","F","112;et114","F","112 et 114"
"1337","A","138","A","138"
"1338","X","175","X","175"
"1339","AI","105","AI","105"
"1340","AT","76","AT","76"
"1341","E","86","E","86"
"1342","AB","56","AB","56"
"1343","AB","56","AB","56"
"1344","AJ","233","AJ","233"
"1345","AF","85","AF","85"
"1346","G","32","G","32"
"1347","AU","143","AU","143"
"1348","","","",""
"1349","AZ","104","AZ","104"
"1350","AB","51","AB","51"
"1351","AR","1","AR","1"
"1352","B","303","B","303"
"1353","K","55-56","K","55-56"
"1354","AJ","217","AJ","217"
"1355","BF","241","BF","241"
"1356","BF","241","BF","241"
"1357","X","9","X","9"
"1358","AQ","44","AQ","44"
"1359","E","25","E","25"
"1360","U","194","U","194"
"1361","A","209","A","209"
"1362","U","79","U","79"
"1363","AE","95","AE","95"
"1364","S","171;172","S","171;172"
"1365","S","26","S","26"
"1366","AO","215","AO","215"
"1367","BF","90","BF","90"
"1368","O","58.590000000000003","O","58.590000000000003"
"1369","O","58.590000000000003","O","58.590000000000003"
"1370","BH","103","BH","103"
"1371","C","156","C","156"
"1372","D","73","D","73"
"1373","D","73","D","73"
"1374","AE","43","AE","43"
"1375","AD","55","AD","55"
"1376","AM","59","AM","59"
"1377","BF","51","BF","51"
"1378","F","65","F","65"
"1379","F","65","F","65"
"1380","Y","229","Y","229"
"1381","AR","60","AR","60"
"1382","AG","111","AG","111"
"1383","B","140","B","140"
"1384","B","234","B","234"
"1385","AP","107","AP","107"
"1386","R","65","R","65"
"1387","Y","106","Y","106"
"1388","AN","132","AN","132"
"1389","AB","41","AB","41"
"1390","E","74","E","74"
"1391","AY","81","AY","81"
"1392","AF","85","AF","85"
"1393","B","234","B","234"
"1394","B","140","B","140"
"1395","AH","15","AH","15"
"1396","L","","L",""
"1397","E","25","E","25"
"1398","BE","109","BE","109"
"1399","AE","11.114000000000001","AE","11.114000000000001"
"1400","AQ","279","AQ","279"
"1401","H","171","H","171"
"1402","BF","25","BF","25"
"1403","AZ","160","AZ","160"
"1404","AV","146","AV","146"
"1405","U","17","U","17"
"1406","U","17","U","17"
"1407","Q","33","Q","33"
"1408","A","81","A","81"
"1409","BD","162","BD","162"
"1410","U","148","U","148"
"1411","T","185","T","185"
"1412","O","74","O","74"
"1413","C","98","C","98"
"1414","AH","191","AH","191"
"1415","D","168","D","168"
"1416","A","151","A","151"
"1417","AV","143","AV","143"
"1418","M","48-60","M","48-60"
"1419","AC","24","AC","24"
"1420","BC","75","BC","75"
"1421","V","33","V","33"
"1422","V","33","V","33"
"1423","A","104","A","104"
"1424","D","73","D","73"
"1425","R","123.42","R","123.42"
"1426","AS","138","AS","138"
"1427","T","182","T","182"
"1428","T","182","T","182"
"1429","BD","82","BD","82"
"1430","AR","113","AR","113"
"1431","Y","96","Y","96"
"1432","BF","121","BF","121"
"1433","S","70","S","70"
"1434","U","78","U","78"
"1435","U","78","U","78"
"1436","BF","47","BF","47"
"1437","AM","62","AM","62"
"1438","J","48","J","48"
"1439","AK","101","AK","101"
"1440","AZ","3","AZ","3"
"1441","L","69","L","69"
"1442","AT","31","AT","31"
"1443","AU","82","AU","82"
"1444","AQ","165","AQ","165"
"1445","AR","52","AR","52"
"1446","AH","72","AH","72"
"1447","AU","102","AU","102"
"1448","O","50","O","50"
"1449","O","50","O","50"
"1450","F","166","F","166"
"1451","BF","90","BF","90"
"1452","G","38","G","38"
"1453","AN","67","AN","67"
"1454","AO","19","AO","19"
"1455","AR","20","AR","20"
"1456","U","19","U","19"
"1457","AJ","217","AJ","217"
"1458","AQ","64","AQ","64"
"1459","R","9","R","9"
"1460","AU","47","AU","47"
"1461","BF","107","BF","107"
"1462","AU","24","AU","24"
"1463","AN","156","AN","156"
"1464","D","25","D","25"
"1465","D","63","D","63"
"1466","F","166","F","166"
"1467","BF","169-230","BF","169-230"
"1468","P","86","P","86"
"1469","AK","5","AK","5"
"1470","U","19","U","19"
"1471","AY","88","AY","88"
"1472","C","156","C","156"
"1473","E","44","E","44"
"1474","AM","120","AM","120"
"1475","AZ","84","AZ","84"
"1476","K","37","K","37"
"1477","","","",""
"1478","A","272","A","272"
"1479","Y","115","Y","115"
"1480","AD","91-61","AD","91-61"
"1481","AU","11","AU","11"
"1482","S","81","S","81"
"1483","AT","111","AT","111"
"1484","AU","82","AU","82"
"1485","F","41","F","41"
"1486","BD","61","BD","61"
"1487","D","109","D","109"
"1488","AH","77","AH","77"
"1489","BF","105","BF","105"
"1490","AO","91","AO","91"
"1491","BD","65","BD","65"
"1492","AT","132","AT","132"
"1493","AR","113","AR","113"
"1494","AO","90","AO","90"
"1495","AQ","178","AQ","178"
"1496","BH","87.96-97-98-99.3-77-79-81.73.105.75.7.83.85.89.91.93.95.103.107.109","BH","87.96-97-98-99.3-77-79-81.73.105.75.7.83.85.89.91.93.95.103.107.109"
"1497","A","162","A","162"
"1498","P","90","P","90"
"1499","AI","68","AI","68"
"1500","BF","107","BF","107"
"1501","BF","51","BF","51"
"1502","G","73","G","73"
"1503","AX","185","AX","185"
"1504","D","48","D","48"
"1505","AG","146","AG","146"
"1506","J","236-253","J","236-253"
"1507","AC","26","AC","26"
"1508","Y","206","Y","206"
"1509","AI","99","AI","99"
"1510","V","33","V","33"
"1511","BF","101
102","BF","101
102"
"1512","T","116
149","T","116
149"
"1513","AZ","184","AZ","184"
"1514","X","5","X","5"
"1515","AQ","25-26","AQ","25-26"
"1516","AK","130-135","AK","130-135"
"1517","AF","227","AF","227"
"1518","","84","","84"
"1519","AJ","230","AJ","230"
"1520","U","54","U","54"
"1521","U","72","U","72"
"1522","AG","323","AG","323"
"1523","BD","61","BD","61"
"1524","G","32","G","32"
"1525","I","72","I","72"
"1526","Y","156","Y","156"
"1527","AK","153","AK","153"
"1528","BF","169-230","BF","169-230"
"1529","AZ","221","AZ","221"
"1530","AN","211.22800000000001","AN","211.22800000000001"
"1531","AI","69","AI","69"
"1532","D","8","D","8"
"1533","AK","19","AK","19"
"1534","U","64","U","64"
"1535","AN","92","AN","92"
"1536","U","175","U","175"
"1537","AP","140","AP","140"
"1538","AQ","165","AQ","165"
"1539","AJ","11","AJ","11"
"1540","F","63","F","63"
"1541","D","188","D","188"
"1542","AN","132","AN","132"
"1543","AK","150","AK","150"
"1544","X","53","X","53"
"1545","A","95","A","95"
"1546","AP","151","AP","151"
"1547","Y","234","Y","234"
"1548","AQ","238","AQ","238"
"1549","AY","23","AY","23"
"1550","AV","20","AV","20"
"1551","O;Q","75,77;37,38,41,45","O                      Q","75,77        37,38,41,45"
"1552","Q","41","Q","41"
"1553","BF","169;et230","BF","169 et 230"
"1554","AS","108","AS","108"
"1555","AV","3","AV","3"
"1556","BC","68","BC","68"
"1557","AT","44-45","AT","44-45"
"1558","BE","133","BE","133"
"1559","AL","150","AL","150"
"1560","F","69","F","69"
"1561","AN","176","AN","176"
"1562","AY","69","AY","69"
"1563","D","121","D","121"
"1564","D","121","D","121"
"1565","D","121","D","121"
"1566","D","121","D","121"
"1567","AQ","103","AQ","103"
"1568","AP","13","AP","13"
"1569","AG","146","AG","146"
"1570","AE","11;et114","AE","11 et 114"
"1571","AS","117","AS","117"
"1572","Z","10","Z","10"
"1573","AK","47","AK","47"
"1574","AO","204","AO","204"
"1575","D","21","D","21"
"1576","F","101","F","101"
"1577","Q","5","Q","5"
"1578","F","143","F","143"
"1579","AK","141","AK","141"
"1580","C","169;à173","C","169 à 173"
"1581","AG","121","AG","121"
"1582","AO","253","AO","253"
"1583","S","81","S","81"
"1584","R","136","R","136"
"1585","A","272","A","272"
"1586","BF","185","BF","185"
"1587","AG","226/227","AG","226/227"
"1588","Q","5","Q","5"
"1589","AQ","132","AQ","132"
"1590","AK","9","AK","9"
"1591","V","107","V","107"
"1592","B","234","B","234"
"1593","AR","105","AR","105"
"1594","V","34","V","34"
"1595","BE","103","BE","103"
"1596","AN","132","AN","132"
"1597","H","234","H","234"
"1598","B","300","B","300"
"1599","AS","121","AS","121"
"1600","AM","116","AM","116"
"1601","D","88;et89","D","88 et 89"
"1602","D","88;et89","D","88 et 89"
"1603","AX","97","AX","97"
"1604","AP","87","AP","87"
"1605","A","88","A","88"
"1606","AN","102","AN","102"
"1607","AX","118","AX","118"
"1608","AM","57","AM","57"
"1609","AZ","9","AZ","9"
"1610","B","189-190","B","189-190"
"1611","AE","161","AE","161"
"1612","AX","90","AX","90"
"1613","AI","143","AI","143"
"1614","AM","62","AM","62"
"1615","Y","199","Y","199"
"1616","AH","49","AH","49"
"1617","AV","189","AV","189"
"1618","AQ","196","AQ","196"
"1619","AI","190","AI","190"
"1620","F","65","F","65"
"1621","AS","58","AS","58"
"1622","AK","71","AK","71"
"1623","OT","61","OT","61"
"1624","AB","51","AB","51"
"1625","BF","169-230","BF","169-230"
"1626","AP","139","AP","139"
"1627","AH","67","AH","67"
"1628","J
I","299
80-81","J
I","299
80-81"
"1629","AG","111","AG","111"
"1630","AK","10","AK","10"
"1631","T","47","T","47"
"1632","AT","207
210","AT","207
210"
"1633","AS","26","AS","26"
"1634","X","208","X","208"
"1635","BD","103","BD","103"
"1636","BD","102","BD","102"
"1637","T","47","T","47"
"1638","AG","11-322","AG","11-322"
"1639","O
Q","77-78
33;à47","O
Q","77-78
33 à 47"
"1640","O","75","O","75"
"1641","AU","199","AU","199"
"1642","AQ","53","AQ","53"
"1643","AX","14","AX","14"
"1644","AN","194","AN","194"
"1645","BF","162","BF","162"
"1646","Y","281","Y","281"
"1647","X","89","X","89"
"1648","D","53","D","53"
"1649","AM","62","AM","62"
"1650","AK","78","AK","78"
"1651","AQ","241","AQ","241"
"1652","U","167","U","167"
"1653","AI","174","AI","174"
"1654","Q","37-38-41","Q","37-38-41"
"1655","M","48-60","M","48-60"
"1656","AP","74","AP","74"
"1657","AN","136","AN","136"
"1658","AG","322","AG","322"
"1659","A","255","A","255"
"1660","AS","187","AS","187"
"1661","S","89","S","89"
"1662","AN","101","AN","101"
"1663","AV","38","AV","38"
"1664","BE","150","BE","150"
"1665","S","127et;207","S","127et 207"
"1666","B","24","B","24"
"1667","D","88
89","D","88
89"
"1668","AM","38","AM","38"
"1669","BE","107","BE","107"
"1670","AU","153","AU","153"
"1671","U","64","U","64"
"1672","AI","190","AI","190"
"1673","AJ","217","AJ","217"
"1674","AR","58","AR","58"
"1675","U","198","U","198"
"1676","AY","69","AY","69"
"1677","AO","229","AO","229"
"1678","BF","169;et230","BF","169 et 230"
"1679","AV","119","AV","119"
"1680","C","166","C","166"
"1681","AR","52,54,55,56,;57,58,60,66,68","AR","52,54,55,56,  57,58,60,66,68"
"1682","AR","154,156,162","AR","154,156,162"
"1683","AR","148","AR","148"
"1684","AP","140","AP","140"
"1685","AD","112","AD","112"
"1686","P","112;à128","P","112 à 128"
"1687","AR","60","AR","60"
"1688","A","183","A","183"
"1689","AV","38","AV","38"
"1690","AV","193","AV","193"
"1691","AJ","26","AJ","26"
"1692","AV","209","AV","209"
"1693","AL","165","AL","165"
"1694","T","60","T","60"
"1695","Q","5","Q","5"
"1696","AR","129","AR","129"
"1697","B","140","B","140"
"1698","BF","173","BF","173"
"1699","H","92","H","92"
"1700","AQ","293","AQ","293"
"1701","J
","303-305-309","J
","303-305-309"
"1702","Y","75-270","Y","75-270"
"1703","B","240","B","240"
"1704","B","240","B","240"
"1705","B","137","B","137"
"1706","AG","323","AG","323"
"1707","E","38.390000000000001","E","38.390000000000001"
"1708","N","2,3,20,29,30,32","N","2,3,20,29,30,32"
"1709","AC","19.199999999999999","AC","19.199999999999999"
"1710","C","166","C","166"
"1711","AH","186","AH","186"
"1712","L","102","L","102"
"1713","P","112;à128","P","112 à128"
"1714","P","112;à128","P","112 à128"
"1715","A","209","A","209"
"1716","H","82;et320","H","82 et 320"
"1717","AM","53","AM","53"
"1718","AT","133","AT","133"
"1719","AY","52","AY","52"
"1720","A","214","A","214"
"1721","BF","167","BF","167"
"1722","AK","141","AK","141"
"1723","O","50","O","50"
"1724","K","121-122","K","121-122"
"1725","D","101","D","101"
"1726","AQ","132","AQ","132"
"1727","P","15","P","15"
"1728","Y","174","Y","174"
"1729","F","32","F","32"
"1730","AV","68","AV","68"
"1731","AN","132","AN","132"
"1732","H","139","H","139"
"1733","X","53","X","53"
"1734","D","47","D","47"
"1735","Q","5","Q","5"
"1736","AP","53","AP","53"
"1737","U","64","U","64"
"1738","AU","109","AU","109"
"1739","G","97","G","97"
"1740","AV","158","AV","158"
"1741","AI","189","AI","189"
"1742","AI","182","AI","182"
"1743","AG","146","AG","146"
"1744","R","66","R","66"
"1745","BG
BH","121
146","BG
BH","121
146"
"1746","AG","108","AG","108"
"1747","AJ","204","AJ","204"
"1748","BF","185","BF","185"
"1749","AL","54","AL","54"
"1750","X","162","X","162"
"1751","A","255","A","255"
"1752","P","112,113,118,120,123,124","P","112,113,118,120,123,124"
"1753","B","285","B","285"
"1754","AK","76","AK","76"
"1755","AP","169,170,204","AP","169,170,204"
"1756","AY","85;+71","AY","85 + 71"
"1757","A","36","A","36"
"1758","B","168","B","168"
"1759","AK","70","AK","70"
"1760","","","",""
"1761","P","90","P","90"
"1762","B","137","B","137"
"1763","","","",""
"1764","P","112;à128","P","112 à  128"
"1765","AY","52","AY","52"
"1766","T","74","T","74"
"1767","AV","6","AV","6"
"1768","I","24","I","24"
"1769","AD","106","AD","106"
"1770","U","80","U","80"
"1771","AT","103","AT","103"
"1772","AU","25","AU","25"
"1773","AU","145","AU","145"
"1774","AQ","142","AQ","142"
"1775","P","90","P","90"
"1776","AN","132","AN","132"
"1777","E","123","E","123"
"1778","Y","206","Y","206"
"1779","Y","187","Y","187"
"1780","AJ","204","AJ","204"
"1781","AR","102","AR","102"
"1782","T","24","T","24"
"1783","AV","68","AV","68"
"1784","AV","19","AV","19"
"1785","B","168","B","168"
"1786","Y","173","Y","173"
"1787","Y","100","Y","100"
"1788","AG","175","AG","175"
"1789","AS","141","AS","141"
"1790","AR","22et;31","AR","22et 31"
"1791","AC","33","AC","33"
"1792","AU","31","AU","31"
"1793","L","96","L","96"
"1794","AK","4","AK","4"
"1795","E","47","E","47"
"1796","AE","175","AE","175"
"1797","A","284","A","284"
"1798","C","26","C","26"
"1799","Q","5","Q","5"
"1800","AV","143","AV","143"
"1801","O","50","O","50"
"1802","T","74","T","74"
"1803","AE","121","AE","121"
"1804","AK","130-135","AK","130-135"
"1805","H","351,354,355,358,260","H","351,354,355,358,260"
"1806","AT","76","AT","76"
"1807","AO","200","AO","200"
"1808","AR","22-31","AR","22-31"
"1809","AR","155","AR","155"
"1810","AR","35","AR","35"
"1811","AR","22-31","AR","22-31"
"1812","AR","22-31","AR","22-31"
"1813","AQ","151","AQ","151"
"1814","X","1","X","1"
"1815","AF","228","AF","228"
"1816","AE","173","AE","173"
"1817","AQ","64","AQ","64"
"1818","AG","126","AG","126"
"1819","Y","41","Y","41"
"1820","AB","7","AB","7"
"1821","AS","186","AS","186"
"1822","AK","10","AK","10"
"1823","AG","108","AG","108"
"1824","AN","193.19399999999999","AN","193.19399999999999"
"1825","AL","68","AL","68"
"1826","AB","109","AB","109"
"1827","L","96","L","96"
"1828","U","88","U","88"
"1829","AE","167","AE","167"
"1830","AK","136","AK","136"
"1831","U","80","U","80"
