LISTE 41 NB;;010;BONDY                         ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
N°;Année de MAJ;Identifiant de la parcelle;Contenance de la parcelle;Adresse de la parcelle;Nom du propriétaire;Nature du changement;Parcelle mère;Ancienne sub. fiscale;Contenance de l'ancienne sub. fiscale;Série tarif de l'ancienne sub. fiscale;Nature de culture de l'ancienne sub. fiscale;Classe de l'ancienne sub. fiscale;Culture spéciale de l'ancienne sub. fiscale;Revenu cadastral 80 de l'ancienne sub. fiscale;Nouvelle sub. fiscale;Contenance de la nouvelle sub. fiscale;Série tarif de la nouvelle sub. fiscale;Nature de culture de la nouvelle sub. fiscale;Classe de la nouvelle sub. fiscale;Culture spéciale de la nouvelle sub. fiscale;Revenu cadastral 80 de la nouvelle sub. fiscale;         
00088;2021;    AS 0064;    0 05 08;0048 EDOUARD VAILLANT              ;LES COPROPRIETAIRES                          ;ILB  ;    ;  ;    0 05 08;A;S ;00;     ;      0,00;  ;    0 05 08;A;AB;01;     ;    339,02;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00089;2021;    AU 0014;    0 02 92;0018 JULES FERRY                   ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 02 92;A;S ;00;     ;      0,00;  ;    0 02 92;A;AB;01;     ;    194,87;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00090;2022;    AU 0059;    0 02 46;0002 ETIENNE DOLET                 ;SOCIETE DU GRAND PARIS                       ;BRB  ;    ;  ;    0 02 46;A;S ;00;     ;      0,00;  ;    0 02 46;A;AB;01;     ;    164,17;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00091;2021;    AU 0100;    0 02 98;0000 DE MERLAN                     ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 02 98;A;S ;00;     ;      0,00;  ;    0 02 98;A;AB;01;     ;    198,87;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00092;2021;    AU 0112;    0 02 83;0026 JULES FERRY                   ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 02 83;A;S ;00;     ;      0,00;  ;    0 02 83;A;AB;01;     ;    188,86;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00093;2021;    AU 0113;    0 03 27;0024 JULES FERRY                   ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 03 27;A;S ;00;     ;      0,00;  ;    0 03 27;A;AB;01;     ;    218,23;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00094;2021;    AU 0144;    0 03 91;0004 DE MERLAN                     ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 03 91;A;S ;00;     ;      0,00;  ;    0 03 91;A;AB;01;     ;    260,94;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00095;2021;    AU 0145;    0 03 91;0022 JULES FERRY                   ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 03 91;A;S ;00;     ;      0,00;  ;    0 03 91;A;AB;01;     ;    260,94;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00096;2021;    AU 0164;    0 04 91;0006 DE MERLAN                     ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 04 91;A;S ;00;     ;      0,00;  ;    0 04 91;A;AB;01;     ;    327,67;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00097;2021;    AU 0165;    0 04 91;0020 JULES FERRY                   ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 04 91;A;S ;00;     ;      0,00;  ;    0 04 91;A;AB;01;     ;    327,67;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00098;2021;    AU 0185;    0 03 22;0016 JULES FERRY                   ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 03 22;A;S ;00;     ;      0,00;  ;    0 03 22;A;AB;01;     ;    214,89;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00099;2021;    AU 0186;    0 03 23;0010 DE MERLAN                     ;LES COPROPRIETAIRES                          ;REC  ;    ;  ;    0 03 23;A;S ;00;     ;      0,00;  ;    0 03 23;A;AB;01;     ;    215,56;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00100;2021;    AZ 0057;    0 01 33;0003 DE LA BUTTE                   ;CHAHED/AHMED SABER                           ;ILB  ;    ;  ;    0 01 33;A;S ;00;     ;      0,00;  ;    0 01 33;A;AB;01;     ;     88,76;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00101;2022;    BF 0197;    0 03 97;0015 DE LA MARE A LA VEUVE         ;BELLAICHE/BRUNO JACQUES                      ;ILB  ;    ;  ;    0 03 97;A;J ;01;     ;      7,02;  ;    0 03 97;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
00102;2022;    BF 0255;    0 06 17;0009 DE L EST                      ;PONCET/PASCALE ISABELLE                      ;DA   ;    ;;;;;;;;  ;    0 06 17;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
00103;2022;    BF 0256;    0 03 04;0009 DE L EST                      ;PONCET/ALISON SARAH CHRISTIANE               ;DA   ;    ;;;;;;;;  ;    0 03 04;A;AB;01;     ;    202,88;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
00104;2021;    BH 0148;    0 10 05;0016 DES CARROUGES                 ;SCI JULIEN ET VIRGINIE                       ;DA   ;    ;;;;;;;;  ;    0 10 05;A;S ;00;     ;      0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
